studentId,skill,problemType,startTime,timeTaken,correct,hintCount,attemptCount,frPast5WrongCount,responseIsFillIn,responseIsChosen,consecutiveErrorsInRow
8,perimeter,textfieldquestion,2005-05-09 13:55:03,66.99999976,0,1,1,0,0,0,0
8,perimeter,textfieldquestion,2005-05-09 13:56:10,5.0,0,2,2,0,0,0,0
8,perimeter,textfieldquestion,2005-05-09 13:56:15,14.00000024,1,2,3,0,0,0,0
8,area,radioquestion,2005-05-09 13:56:29,16.99999952,1,0,1,1,0,0,0
8,area,textfieldquestion,2005-05-09 13:56:46,13.00000048,0,1,1,1,0,0,0
8,area,textfieldquestion,2005-05-09 13:56:59,13.99999952,1,1,2,1,0,0,0
8,equation-solving,radioquestion,2005-05-09 13:57:13,35.0,1,0,1,2,0,0,0
8,pattern-finding,textfieldquestion,2005-05-09 13:57:48,131.0000005,1,0,1,0,0,0,0
8,triangle-inequality,other,2005-05-09 13:59:59,16.0,1,0,1,1,0,0,0
8,supplementary-angles,textfieldquestion,2005-05-09 14:00:15,46.0,1,0,1,2,0,0,0
8,equation-solving,textfieldquestion,2005-05-09 14:01:01,19.0,1,0,1,2,0,0,0
8,order-of-operations,textfieldquestion,2005-05-09 14:01:20,40.99999952,0,0,1,1,0,0,0
8,order-of-operations,algebra,2005-05-09 14:02:01,13.00000048,0,0,1,2,1,0,0
8,order-of-operations,algebra,2005-05-09 14:02:14,5.999999523,0,0,2,2,1,0,0
8,order-of-operations,algebra,2005-05-09 14:02:20,2.000000477,0,1,3,2,1,0,0
8,order-of-operations,algebra,2005-05-09 14:02:22,14.99999976,0,2,4,2,1,0,0
8,order-of-operations,algebra,2005-05-09 14:02:37,9.000000238,1,2,5,2,1,0,0
8,order-of-operations,algebra,2005-05-09 14:02:46,6.999999762000001,0,0,1,2,1,0,0
8,order-of-operations,algebra,2005-05-09 14:02:53,3.0,0,1,2,2,1,0,0
8,order-of-operations,algebra,2005-05-09 14:02:56,5.0,1,1,3,2,1,0,0
8,point-plotting,radioquestion,2005-05-09 14:03:01,30.0,1,0,1,0,0,0,0
8,percent-of,textfieldquestion,2005-05-09 14:03:31,105.99999979999998,0,1,1,1,0,0,0
8,venn-diagram,textfieldquestion,2005-05-09 14:05:17,20.00000024,0,0,1,0,0,0,0
8,venn-diagram,textfieldquestion,2005-05-09 14:05:37,13.0,0,0,2,0,0,0,0
8,venn-diagram,textfieldquestion,2005-05-09 14:05:50,33.0,0,0,3,0,0,0,0
8,venn-diagram,textfieldquestion,2005-05-09 14:06:23,75.0,0,1,4,0,0,0,0
8,venn-diagram,textfieldquestion,2005-05-09 14:07:38,48.0,0,1,5,0,0,0,0
8,venn-diagram,textfieldquestion,2005-05-09 14:08:26,9.999999762,0,2,6,0,0,0,0
8,venn-diagram,textfieldquestion,2005-05-09 14:08:36,44.00000024,1,2,7,0,0,0,0
8,venn-diagram,textfieldquestion,2005-05-09 14:09:20,19.0,1,0,1,0,0,0,0
8,percent-of,textfieldquestion,2005-05-09 14:09:39,40.0,0,1,1,1,0,0,0
8,percent-of,textfieldquestion,2005-05-09 14:10:19,9.0,0,2,2,1,0,0,0
8,percent-of,textfieldquestion,2005-05-09 14:10:28,5.0,0,3,3,1,0,0,0
8,percent-of,textfieldquestion,2005-05-09 14:10:33,3.999999762,0,4,4,1,0,0,0
8,percent-of,textfieldquestion,2005-05-09 14:10:37,7.000000237999999,1,4,5,1,0,0,0
8,making-sense-of-expressions-and-equations,other,2005-05-09 14:10:44,41.99999976,0,0,1,1,0,0,0
8,making-sense-of-expressions-and-equations,other,2005-05-09 14:11:26,16.0,0,0,2,1,0,0,1
8,making-sense-of-expressions-and-equations,other,2005-05-09 14:11:42,5.0,1,0,3,1,0,0,0
8,evaluating-functions,algebra,2005-05-09 14:11:47,103.0000002,0,1,1,1,1,0,0
8,multiplication,noprobtype,2005-05-09 14:13:30,12.99999976,0,0,1,0,0,0,0
8,multiplication,noprobtype,2005-05-09 14:13:43,45.00000048,1,0,2,0,0,0,0
8,unit-conversion,noprobtype,2005-05-09 14:14:28,115.0,0,0,1,0,0,0,0
8,unit-conversion,noprobtype,2005-05-09 14:16:23,65.0,0,1,2,0,0,0,0
8,unit-conversion,noprobtype,2005-05-09 14:17:28,5.999999523,0,2,3,0,0,0,0
8,unit-conversion,noprobtype,2005-05-09 14:17:34,4.000000238,0,3,4,0,0,0,0
8,unit-conversion,noprobtype,2005-05-09 14:17:38,6.000000237999999,1,3,5,0,0,0,0
8,evaluating-functions,noprobtype,2005-05-09 14:17:44,4.999999762,0,1,1,1,0,0,0
8,evaluating-functions,noprobtype,2005-05-09 14:17:49,0.999999762,0,2,2,1,0,0,0
8,evaluating-functions,noprobtype,2005-05-09 14:17:50,6.0,0,3,3,1,0,0,0
8,evaluating-functions,noprobtype,2005-05-09 14:17:56,9.000000238,1,3,4,1,0,0,0
9,algebraic-manipulation,radioquestion,2006-04-03 16:33:39,10.00000048,0,0,1,1,0,0,1
9,algebraic-manipulation,radioquestion,2006-04-03 16:33:49,2.999999523,1,0,2,1,0,0,0
9,algebraic-manipulation,radioquestion,2006-04-03 16:33:52,19.0,0,0,1,1,0,0,0
9,algebraic-manipulation,radioquestion,2006-04-03 16:34:11,2.000000477,1,0,2,1,0,0,0
9,algebraic-manipulation,radioquestion,2006-04-03 16:34:13,27.99999976,1,0,1,1,0,0,0
9,probability,radioquestion,2006-04-03 16:34:41,36.99999976,1,0,1,1,0,0,0
9,noskill,noprobtype,2006-04-03 16:35:18,71.00000024,0,1,1,0,0,0,0
9,noskill,noprobtype,2006-04-03 16:36:29,63.00000024,0,0,1,0,0,0,0
9,noskill,noprobtype,2006-04-03 16:37:32,2.999999523,0,1,2,0,0,0,0
9,noskill,noprobtype,2006-04-03 16:37:35,65.0,1,1,3,0,0,0,0
9,noskill,noprobtype,2006-04-03 16:38:40,93.00000048,0,0,1,0,0,0,0
9,noskill,noprobtype,2006-04-03 16:40:13,3.999999523,0,1,2,0,0,0,0
9,noskill,noprobtype,2006-04-03 16:40:17,16.0,0,2,3,0,0,0,0
9,noskill,noprobtype,2006-04-03 16:40:33,124.00000020000002,0,2,4,0,0,0,0
9,noskill,noprobtype,2006-04-03 16:42:37,30.0,0,3,5,0,0,0,0
9,noskill,noprobtype,2006-04-03 16:43:07,36.99999976,0,4,6,0,0,0,0
9,noskill,noprobtype,2006-04-03 16:43:44,7.000000477,1,4,7,0,0,0,0
9,discount,interfaceradioquestion1,2006-04-03 16:43:51,48.0,1,0,1,0,0,0,0
9,probability,radioquestion,2006-04-03 16:44:39,70.99999952,0,0,1,1,0,0,0
9,probability,textfieldquestion,2006-04-03 16:45:50,20.00000024,1,0,1,2,0,0,0
9,probability,textfieldquestion,2006-04-03 16:46:10,9.000000238,1,0,1,2,0,0,0
9,probability,radioquestion,2006-04-03 16:46:19,9.999999762,0,0,1,1,0,0,0
9,probability,radioquestion,2006-04-03 16:46:29,8.0,0,0,2,1,0,0,1
9,probability,radioquestion,2006-04-03 16:46:37,3.999999762,1,0,3,1,0,0,0
9,square-root,radioquestion,2006-04-03 16:46:41,44.00000024,0,0,1,0,0,0,0
9,square-root,textfieldquestion,2006-04-03 16:47:25,25.99999976,0,0,1,1,0,0,1
9,square-root,textfieldquestion,2006-04-03 16:47:51,11.0,0,0,2,1,0,0,2
9,square-root,textfieldquestion,2006-04-03 16:48:02,6.000000237999999,0,1,3,1,0,0,0
9,square-root,textfieldquestion,2006-04-03 16:48:08,9.000000238,1,1,4,1,0,0,0
9,square-root,textfieldquestion,2006-04-03 16:48:17,8.999999523,1,0,1,1,0,0,0
9,square-root,radioquestion,2006-04-03 16:48:26,9.000000238,1,0,1,1,0,0,0
9,unit-conversion,textfieldquestion,2006-04-03 16:48:35,447.0,0,0,1,3,0,0,0
9,unit-conversion,textfieldquestion,2006-04-03 16:56:02,6.000000237999999,1,0,2,3,0,0,0
9,probability,interfacetextfieldquestion,2006-04-03 16:56:08,68.99999976,0,0,1,1,0,0,0
9,least-common-multiple,textfieldquestion,2006-04-03 16:57:17,143.0000002,0,1,1,0,0,0,0
9,least-common-multiple,textfieldquestion,2006-04-03 16:59:40,4.999999762,0,2,2,0,0,0,0
