id,label
0,0
1,1
2,0
3,1
4,1
5,0
6,1
7,1
8,0
9,1
10,0
11,0
12,0
13,1
14,0
15,1
16,0
17,1
18,0
19,1
20,0
21,1
22,1
23,0
24,1
25,0
26,1
27,1
28,0
29,0
30,0
31,0
32,0
33,1
34,1
35,1
36,1
37,1
38,1
39,0
40,0
41,1
42,1
43,0
44,1
45,0
46,0
47,1
48,1
49,1
50,0
51,1
52,0
53,1
54,1
55,1
56,1
57,0
58,0
59,0
60,1
61,1
62,1
63,0
64,1
65,1
66,0
67,0
68,1
69,0
70,0
71,1
72,1
73,1
74,1
75,1
76,0
77,1
78,1
79,0
80,0
81,0
82,1
83,1
84,1
85,1
86,1
87,1
88,1
89,1
90,0
91,1
92,1
93,1
94,1
95,1
96,1
97,1
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,1
107,0
108,1
109,1
110,1
111,1
112,1
113,1
114,0
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,0
125,1
126,1
127,1
128,1
129,1
130,0
131,1
132,1
133,0
134,1
135,1
136,1
137,0
138,1
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,1
147,0
148,1
149,0
150,1
151,1
152,1
153,0
154,0
155,1
156,0
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,1
165,1
166,1
167,0
168,1
169,1
170,1
171,1
172,1
173,1
174,0
175,1
176,1
177,1
178,1
179,1
180,1
181,0
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,1
190,1
191,0
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,0
200,1
201,1
202,1
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,0
211,0
212,1
213,1
214,0
215,0
216,1
217,1
218,1
219,1
220,0
221,1
222,1
223,0
224,0
225,1
226,0
227,0
228,1
229,0
230,0
231,0
232,1
233,0
234,1
235,1
236,0
237,1
238,0
239,0
240,0
241,1
242,1
243,1
244,1
245,0
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,0
254,1
255,1
256,0
257,0
258,1
259,1
260,1
261,1
262,0
263,1
264,0
265,1
266,0
267,1
268,1
269,1
270,1
271,1
272,0
273,1
274,1
275,1
276,1
277,0
278,1
279,0
280,1
281,1
282,1
283,1
284,1
285,0
286,1
287,1
288,1
289,0
290,1
291,1
292,0
293,0
294,1
295,0
296,1
297,1
298,1
299,0
300,1
301,0
302,1
303,1
304,1
305,0
306,0
307,1
308,1
309,1
310,1
311,1
312,0
313,0
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,0
325,0
326,0
327,1
328,1
329,1
330,1
331,1
332,0
333,0
334,0
335,1
336,1
337,1
338,0
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,0
351,1
352,1
353,1
354,1
355,0
356,0
357,1
358,1
359,0
360,1
361,1
362,1
363,1
364,1
365,0
366,1
367,1
368,1
369,0
370,1
371,1
372,0
373,1
374,1
375,1
376,1
377,1
378,1
379,1
380,0
381,1
382,0
383,1
384,1
385,0
386,0
387,1
388,0
389,0
390,1
391,1
392,0
393,1
394,1
395,1
396,1
397,0
398,1
399,1
400,1
401,0
402,1
403,1
404,0
405,0
406,1
407,1
408,0
409,1
410,0
411,1
412,1
413,0
414,1
415,1
416,1
417,1
418,0
419,1
420,1
421,1
422,1
423,0
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,0
432,1
433,1
434,1
435,1
436,1
437,1
438,1
439,1
440,0
441,0
442,1
443,1
444,1
445,1
446,1
447,1
448,1
449,0
450,1
451,1
452,0
453,0
454,1
455,0
456,1
457,0
458,0
459,1
460,1
461,0
462,1
463,0
464,1
465,0
466,1
467,0
468,1
469,1
470,1
471,1
472,0
473,0
474,1
475,1
476,1
477,1
478,1
479,1
480,0
481,1
482,0
483,1
484,0
485,1
486,1
487,1
488,1
489,1
490,1
491,0
492,1
493,1
494,1
495,1
496,0
497,1
498,1
499,1
500,1
501,0
502,1
503,1
504,1
505,0
506,1
507,0
508,1
509,1
510,1
511,0
512,1
513,1
514,0
515,1
516,1
517,0
518,1
519,1
520,1
521,1
522,0
523,1
524,1
525,1
526,1
527,0
528,1
529,0
530,0
531,0
532,0
533,1
534,1
535,1
536,1
537,1
538,0
539,0
540,1
541,0
542,1
543,0
544,1
545,1
546,1
547,1
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,0
556,1
557,1
558,0
559,0
560,1
561,1
562,0
563,0
564,1
565,0
566,1
567,1
568,1
569,1
570,0
571,0
572,1
573,0
574,0
575,1
576,1
577,1
578,0
579,1
580,1
581,1
582,1
583,1
584,1
585,1
586,1
587,0
588,1
589,1
590,1
591,1
592,1
593,1
594,1
595,1
596,1
597,1
598,1
599,0
600,0
601,0
602,1
603,1
604,1
605,1
606,0
607,1
608,1
609,1
610,0
611,1
612,0
613,0
614,1
615,1
616,1
617,1
618,0
619,1
620,0
621,0
622,1
623,1
624,0
625,1
626,0
627,0
628,1
629,1
630,1
631,1
632,0
633,1
634,0
635,0
636,0
637,1
638,1
639,1
640,1
641,0
642,1
643,0
644,1
645,1
646,1
647,1
648,0
649,1
650,1
651,0
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,0
660,1
661,0
662,1
663,1
664,1
665,1
666,1
667,1
668,0
669,0
670,1
671,1
672,0
673,1
674,0
675,0
676,0
677,1
678,1
679,1
680,0
681,0
682,1
683,1
684,0
685,0
686,1
687,1
688,1
689,1
690,1
691,1
692,1
693,1
694,0
695,0
696,1
697,1
698,1
699,1
700,1
701,1
702,0
703,1
704,1
705,1
706,1
707,1
708,1
709,1
710,1
711,1
712,1
713,0
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,0
724,0
725,1
726,0
727,1
728,1
729,1
730,0
731,0
732,1
733,1
734,0
735,1
736,1
737,0
738,1
739,0
740,0
741,0
742,1
743,0
744,1
745,1
746,0
747,1
748,0
749,1
750,0
751,1
752,1
753,1
754,0
755,1
756,0
757,1
758,1
759,1
760,1
761,1
762,1
763,1
764,1
765,1
766,0
767,1
768,1
769,1
770,1
771,0
772,1
773,1
774,1
775,1
776,0
777,0
778,1
779,1
780,0
781,0
782,1
783,1
784,0
785,0
786,0
787,1
788,1
789,0
790,1
791,1
792,0
793,1
794,1
795,1
796,1
797,1
798,0
799,1
800,1
801,1
802,0
803,0
804,1
805,0
806,1
807,0
808,1
809,0
810,1
811,1
812,1
813,0
814,0
815,1
816,1
817,1
818,0
819,1
820,0
821,1
822,0
823,1
824,1
825,1
826,1
827,0
828,1
829,1
830,0
831,0
832,1
833,1
834,1
835,1
836,0
837,0
838,1
839,1
840,1
841,1
842,1
843,0
844,1
845,1
846,1
847,1
848,1
849,0
850,0
851,0
852,0
853,0
854,1
855,0
856,1
857,1
858,1
859,1
860,1
861,1
862,0
863,0
864,1
865,1
866,1
867,0
868,1
869,1
870,1
871,0
872,0
873,1
874,0
875,0
876,1
877,0
878,0
879,1
880,1
881,1
882,1
883,1
884,1
885,0
886,1
887,1
888,1
889,0
890,1
891,0
892,1
893,1
894,1
895,0
896,1
897,0
898,1
899,1
900,1
901,1
902,0
903,0
904,0
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,0
917,1
918,1
919,0
920,1
921,0
922,1
923,0
924,0
925,0
926,0
927,1
928,1
929,1
930,1
931,1
932,0
933,1
934,1
935,1
936,0
937,0
938,1
939,0
940,1
941,0
942,0
943,1
944,0
945,0
946,1
947,1
948,0
949,0
950,1
951,0
952,1
953,1
954,1
955,1
956,1
957,0
958,1
959,1
960,1
961,1
962,0
963,0
964,0
965,0
966,1
967,1
968,1
969,0
970,1
971,1
972,1
973,1
974,0
975,1
976,1
977,1
978,0
979,1
980,1
981,1
982,1
983,0
984,1
985,1
986,0
987,1
988,1
989,0
990,0
991,0
992,1
993,1
994,1
995,1
996,0
997,1
998,0
999,1
1000,1
1001,1
1002,0
1003,1
1004,1
1005,1
1006,1
1007,0
1008,0
1009,1
1010,1
1011,1
1012,1
1013,1
1014,1
1015,0
1016,1
1017,0
1018,0
1019,1
1020,1
1021,1
1022,1
1023,1
1024,1
1025,1
1026,1
1027,1
1028,1
1029,0
1030,0
1031,1
1032,1
1033,1
1034,1
1035,1
1036,1
1037,1
1038,1
1039,0
1040,0
1041,1
1042,1
1043,1
1044,1
1045,0
1046,1
1047,1
1048,1
1049,0
1050,1
1051,1
1052,1
1053,1
1054,0
1055,1
1056,1
1057,0
1058,1
1059,1
1060,0
