restaurant_id,restaurant_name,total_revenue,total_orders,avg_order_value
9988,The Yellow Chilli,116767.37,169,690.93
6441,Fire Station,115381.12,20,5769.06
9982,McDonald's,113804.73,258,441.1
9648,The Filter Coffee,109852.32,431,254.88
9667,The Hole in the Wall Cafe,109521.28,189,579.48
9959,Ibaco,106997.37,249,429.71
3295,Chutney Chang,104197.4,23,4530.32
11523,Le Casse CroÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ»te,102999.03,185,556.75
2075,Punjabi Times,100470.81,13,7728.52
9665,Barleyz,97317.49,79,1231.87
2082,The Black Pearl,95963.2,44,2180.98
12047,Whitefield Social,95733.33,68,1407.84
11462,Sangria Wine Lounge,95518.2,20,4775.91
5435,The Rasoiya Street,93807.5,1,93807.5
10071,The Sugar Factory - Le Meridien,92653.63,69,1342.81
11764,Chord Road Resto-Bar,92421.8,5,18484.36
1736,Punjabi by Nature 2.0,91952.37,54,1702.82
9627,Kanti Sweets,91865.71,90,1020.73
12295,Salt - Indian Restaurant - Bar & Grill,88717.15,48,1848.27
10195,Onesta,86955.85,59,1473.83
11110,BiereKraft,84579.85,18,4698.88
9070,Kapoor's Cafe,83844.55,12,6987.05
436,Subz,82228.46,26,3162.63
6238,Tilt Gastro Lounge,80104.43,3,26701.48
4891,Boho,79994.77,4,19998.69
10013,La Brasserie - Le Meridien,79884.19,30,2662.81
10781,Jetlag,79278.62,9,8808.74
8072,The Fatty Bao - Asian Gastro Bar,78935.44,23,3431.98
11210,Paradise,78322.97,82,955.16
11850,Cafe Coffee Day,77850.74,151,515.57
9212,Brewklyn Microbrewery,77136.94,62,1244.14
8518,The Black Rabbit,77057.49,27,2853.98
1821,Euki,74857.44,11,6805.22
8893,Burger King,71822.62,35,2052.07
7913,Barbeque Nation,70166.45,51,1375.81
1876,Cable Car,68468.19,31,2208.65
9513,BYLI - Bet You Love It!,67841.42,40,1696.04
8902,Barbeque Nation,67253.28,23,2924.06
4816,Windmills Craftworks,66855.18,48,1392.82
11565,Pizza Hut,66372.4,107,620.3
11971,Shanmukha,64614.37,25,2584.57
10831,The Globe Grub,64485.85,92,700.93
6442,Barbeque Nation,63794.95,31,2057.9
8786,Chianti,63606.18,56,1135.82
11655,Cave N Dine,62934.61,14,4495.33
9866,Sotally Tober,62519.55,104,601.15
3229,Le Rock,62227.82,5,12445.56
10000,KFC,62111.86,193,321.82
9626,Corner House Ice Cream,61961.74,161,384.86
9676,Bundar,60932.58,68,896.07
9217,Float Brewery,59756.82,5,11951.36
7456,Here & Now,58855.16,37,1590.68
10070,Hype - Shangri-La Hotel,58511.0,34,1720.91
12009,Red Rhino,57810.21,53,1090.76
4160,Brew and Barbeque - A Microbrewery Pub,57621.64,37,1557.34
1349,TGI Fridays,57603.95,12,4800.33
9369,Hoppipola,57579.99,23,2503.48
3901,Flechazo,57480.29,12,4790.02
11294,Nandhana Palace,55017.37,78,705.35
11874,Bearful,54998.89,39,1410.23
10274,Hammered,54976.06,34,1616.94
11321,Mexican Burrito,54856.34,14,3918.31
6336,Mynt - The Taj West End,54556.82,31,1759.9
8522,Tipsy Bull - The Bar Exchange,54383.83,16,3398.99
10255,Chili's American Grill & Bar,53665.59,74,725.21
11191,Cafe Coffee Day The Lounge,53525.56,51,1049.52
11574,Meat And Eat (ME),53349.0,28,1905.32
2863,Olive Bar And Kitchen,52814.86,9,5868.32
84,Meghana Foods,52301.86,56,933.96
6360,The Yogisthaan Cafe,51863.42,103,503.53
10688,Empire Restaurant,51835.18,7,7405.03
11578,SantÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Spa Cuisine,50997.3,76,671.02
8767,Shivaji Military Hotel,50693.82,122,415.52
3669,Bangalore Brew Works,50455.76,10,5045.58
598,Deja Vu Resto Bar,50222.88,19,2643.31
10782,The London Curry House - The Royale Senate Hotel,50211.03,49,1024.71
8787,The Underpass Pub & Grub,50177.94,36,1393.83
9965,Mojo Pizza - 2X Toppings,50156.56,72,696.62
11569,Domino's Pizza,50075.52,83,603.32
7912,Big Pitcher,49853.12,50,997.06
6421,Burger King,49229.89,50,984.6
11459,1522 - The Pub,49160.95,54,910.39
9960,Pizza Hut,48137.09,81,594.29
1887,Eshanya,48054.78,17,2826.75
9628,Domino's Pizza,46720.31,115,406.26
6354,Mangalore pearl - Seafood Restaurant,46683.03,124,376.48
875,Brewsky,46512.45,32,1453.51
9338,Delicious Momos,46314.06,3,15438.02
12067,Harry's Bar + Cafe,45704.81,21,2176.42
3632,Arbor Brewing Company,45361.24,42,1080.03
6399,Chowmein,44968.0,21,2141.33
11560,Kanti Sweets,44954.08,37,1214.98
8521,Chianti,44696.83,22,2031.67
12055,The Whitefield Arms Pub & Microbrewery,44372.8,27,1643.44
7921,Oye Amritsar,44156.02,10,4415.6
11568,Sri Udupi Park,43516.43,50,870.33
7354,Byblos,43490.01,38,1144.47
8886,Subway,43342.21,54,802.63
10833,"3B's - Buddies, Bar & Barbecues",42731.08,53,806.25
11889,Via Milano,42163.78,49,860.49
7212,Connie's Restaurant & Steakhouse,41812.08,45,929.16
10072,Shang Palace - Shangri-La Hotel,41676.31,43,969.22
11520,BOX8- Desi Meals,41523.38,149,278.68
12294,The Biere Club,41311.42,38,1087.14
762,Hyderabad Biryaani House,40966.56,5,8193.31
9268,FireHouse - Bar & Kitchen,40960.12,19,2155.8
11525,New Tandoor,40888.29,80,511.1
9253,Aioli,40876.75,26,1572.18
11446,Corner House Ice Cream,40689.41,54,753.51
8034,KFC,40612.5,1,40612.5
12419,Chianti,40591.77,20,2029.59
11199,THE BEL ST.,40577.15,18,2254.29
7181,Empire Restaurant,40413.04,84,481.11
11585,Kava - Fairfield by Marriott,40179.36,36,1116.09
6519,Paradise,40082.27,59,679.36
8947,Avista Cafe Pizzeria,39932.45,15,2662.16
6671,King's Appetite,39898.02,2,19949.01
11669,Nandhana Palace,39556.69,54,732.53
7239,Imli,39526.94,59,669.95
2089,Little Italy,39427.4,8,4928.42
8880,Domino's Pizza,38834.35,79,491.57
9944,Cafe Coffee Day,38697.94,38,1018.37
7447,Empire Restaurant,38019.74,63,603.49
1796,Mockaholic Restro Beer Cafe,37957.23,15,2530.48
10134,1947,37867.26,11,3442.48
606,Zaitoon,37535.82,9,4170.65
12259,The Irish House,37387.96,41,911.9
9706,1522 - The Pub,37270.77,35,1064.88
8712,Nandhana Palace,37010.47,55,672.92
11887,Birbal Darbar,36926.79,87,424.45
1343,Mandi,36754.69,5,7350.94
3350,The Only Place,36701.58,5,7340.32
8530,Esplanade,36425.65,7,5203.66
9957,CakeZone,36321.12,96,378.34
12307,Mavalli Tiffin Room (MTR),35707.55,10,3570.76
7048,Z-Bar,35628.23,13,2740.63
11521,Mojo Pizza - 2X Toppings,35532.39,72,493.51
12043,Shizusan Shophouse & Bar,35033.01,31,1130.1
8517,Vapour Pub & Brewery,34382.38,41,838.59
10268,Punjab Grill,34037.93,28,1215.64
37,Empire Restaurant,34012.35,67,507.65
9966,Biryani Junction,33620.06,106,317.17
4888,The Black Pearl,33580.89,36,932.8
10834,Melange - Radisson Blu,33367.02,13,2566.69
7195,Bathinda Dine,33148.32,25,1325.93
12302,BAR BAR,32949.98,28,1176.79
10077,Hotel Annapoorna,32748.6,29,1129.26
2773,Glassy,32605.95,11,2964.18
3975,Night Food Joint,32410.5,2,16205.25
2067,The Fisherman's Wharf,31895.45,36,885.98
7201,Pizza Hut,31694.66,8,3961.83
8019,Leon Grill,31498.98,9,3499.89
11974,Imperio Restaurant,31331.21,50,626.62
11761,Al-Bek,31259.49,29,1077.91
8674,Sea Lions BBQ & Grills,31135.08,34,915.74
7810,Corner House Ice Cream,31115.2,16,1944.7
4934,A Hole Lotta Love Cafe,30979.37,8,3872.42
10679,District 6 Pub Brewery & Kitchen,30963.73,29,1067.71
9661,A2B - Adyar Ananda Bhavan,30763.21,64,480.68
4902,Empire Restaurant,30701.54,19,1615.87
8933,Onesta,30606.25,58,527.69
3111,Church Street Social,30560.68,30,1018.69
12349,Mooch Marod,30540.5,12,2545.04
6679,OrganicFeast,30393.5,1,30393.5
3665,Yauatcha,30338.95,13,2333.77
10785,Gilly's Restobar,30235.18,42,719.89
5325,Hyderabad Biryaani House,30171.57,5,6034.31
7342,The Teal Door Cafe,29809.52,63,473.17
11192,Vasudev Adiga's,29741.05,154,193.12
5274,Zero Mile Punjab,29410.28,4,7352.57
10270,Stories,29353.56,36,815.38
1691,Krazzy Folds,29234.65,38,769.33
827,Elegant Dining,29206.39,2,14603.2
5334,Onesta,29206.15,31,942.13
51,Biryanis And More,29184.28,9,3242.7
885,Zhang's - Chinese Restaurant,29167.53,6,4861.26
11196,Hunan,28893.24,39,740.85
1676,1947,28853.59,46,627.25
7765,Sichuan,28845.65,13,2218.9
6696,Messy's,28822.02,4,7205.51
8774,Burger King,28772.19,45,639.38
12023,Ooh La La,28714.32,5,5742.86
10173,Smally's Resto Cafe,28465.86,15,1897.72
7842,Vanilla Sky,28127.53,23,1222.94
12110,Noodle Bar,27856.59,29,960.57
9878,B-hive,27706.34,42,659.67
8910,Empire Restaurant,27457.96,57,481.72
2747,Tempteys,27315.5,1,27315.5
9087,Zaica Dine & Wine,27295.0,13,2099.62
5519,Brooks and Bonds Brewery,27131.68,14,1937.98
10836,Bold,27063.75,20,1353.19
11190,Pizza Hut,26826.2,55,487.75
11853,Cafe Coffee Day,26748.13,59,453.36
600,Empire Restaurant,26519.28,31,855.46
1636,55 Wall Street,26473.69,16,1654.61
11600,Gowdru Hotel,26324.96,69,381.52
11848,Keventers,26125.09,87,300.29
7728,SR Andhra Spicy House,26044.34,6,4340.72
3638,Pecos Classic,25995.06,4,6498.77
9768,Eat Street,25791.97,22,1172.36
12299,Toscano - Mojito Bar,25519.5,19,1343.13
7914,LOFT38,25468.78,22,1157.67
10228,Vinny's,25262.3,14,1804.45
8901,Sigree Global Grill,25007.22,20,1250.36
202,Chutney Chang,24955.16,22,1134.33
1789,Mudpipe Cafe,24872.82,37,672.24
11197,My Place - Gokulam Grand Hotel & Spa,24665.03,18,1370.28
8686,Kabab Magic,24505.86,41,597.7
9879,The Local - Terrace Drinkery,24308.93,33,736.63
10210,Slanz Cafe,24301.84,2,12150.92
3900,AB's - Absolute Barbecues,24287.98,22,1104.0
10143,Onesta,24105.48,3,8035.16
2241,Chili's American Grill & Bar,24082.74,13,1852.52
10853,Shanmukha,24081.46,48,501.7
8903,Imperio Restaurant,23838.62,47,507.2
8911,Truffles,23801.54,32,743.8
4207,Bangaliana,23781.65,3,7927.22
11546,California Burrito,23495.87,100,234.96
10744,Royal Afghan - ITC Windsor,23344.52,6,3890.75
9643,The Red Lantern,23296.39,55,423.57
11594,Sri Ayodhya Veg,23199.29,22,1054.51
7849,Luo Han,23191.69,19,1220.62
6338,Starbucks,22963.77,45,510.31
10002,Head's Or Tail's,22927.29,40,573.18
8524,Tippler,22837.08,19,1201.95
6693,Gilly's Restobar,22801.57,32,712.55
11116,Biriyani Zone,22761.37,32,711.29
8697,Hari Super Sandwich,22689.6,99,229.19
9514,Wanderers,22561.75,15,1504.12
7171,Cafe Arabica,22514.84,4,5628.71
9954,Swad Restaurant,22369.35,64,349.52
8724,Calvin's,22235.41,20,1111.77
11231,Pizza Hut,22202.03,24,925.08
3104,Shiro,22160.64,11,2014.6
7289,Elements Eatery,21939.05,19,1154.69
7883,Ambur Chicken Biryani,21848.0,1,21848.0
1724,Dadi's Dum Biryani,21822.96,44,495.98
2286,Float,21772.59,23,946.63
3667,Hard Rock Cafe,21684.04,18,1204.67
11528,McDonald's,21580.2,47,459.15
8769,Pizza Hut,21528.51,35,615.1
10132,Mainland China,21488.18,21,1023.25
9236,Wokanaka - The Casual Chinese Pitstop,21394.58,7,3056.37
5478,Cafe Thulp,21306.83,13,1638.99
11957,Onesta,21254.4,51,416.75
10073,Yataii - Shangri-La Hotel,21085.11,13,1621.93
12304,Karibu - The Zuri,21041.98,6,3507.0
10680,Barbecue by Punjab Grill,20926.09,18,1162.56
8785,The Pump House,20867.32,28,745.26
10230,CTR,20777.08,56,371.02
2974,Hammered,20652.25,25,826.09
7923,Empire Restaurant,20620.03,51,404.31
2690,Anand Sweets And Savouries,20508.43,2,10254.22
10829,ANTIGRAVITY,20387.39,23,886.41
599,Fattoush,20299.86,19,1068.41
3663,Skyye,20226.74,15,1348.45
2825,OPUS Club,20194.11,16,1262.13
6339,Cafe Coffee Day The Square,20096.51,21,956.98
9979,Baskin Robbins,20075.84,27,743.55
1738,Pin Me Down,20000.49,17,1176.5
9668,Third Wave Coffee Roasters,19959.69,25,798.39
8877,Pizza Hut,19830.06,44,450.68
8529,Barebones - The Balcony Bar,19820.75,20,991.04
7096,Sanjeevini Veg,19645.5,1,19645.5
461,SLV Corner Restaurant,19609.69,4,4902.42
4026,The Bahubali,19549.5,1,19549.5
796,Stories,19525.96,18,1084.78
5024,Mojo Pizza - 2X Toppings,19375.0,1,19375.0
7515,The Punjabi Rasoi,19330.62,35,552.3
10584,1522 - The Pub,19018.19,28,679.22
9947,Paratha Plaza,19001.29,41,463.45
7845,Safe House,18998.24,30,633.27
3074,Mamagoto,18954.12,16,1184.63
8832,Multi Cakes,18850.99,11,1713.73
6217,Fenny's Lounge And Kitchen,18824.63,16,1176.54
6362,Samrat Restaurant,18693.82,35,534.11
3637,Plan B,18669.94,17,1098.23
3662,Communiti,18567.56,19,977.24
7253,Cafe Thulp,18519.84,30,617.33
12269,BelgYum,18416.32,44,418.55
2146,Meghana Foods Grand,18389.72,21,875.7
8869,Shanghai Court,18370.96,37,496.51
7524,Punjabi Nawabi,18246.14,17,1073.3
2070,Tipsy Bull - The Bar Exchange,18210.7,16,1138.17
12301,Imperio Restaurant,18183.95,45,404.09
5890,House Of Commons,18149.8,12,1512.48
7916,Mainland China,18066.33,12,1505.53
8,Onesta,17836.34,37,482.06
10022,Chetty's Corner,17628.85,88,200.33
11114,Saffron - Radisson Blu,17624.9,11,1602.26
6574,Food Ras,17603.77,37,475.78
9946,Firangi Bake,17602.7,49,359.24
9883,Jimi's Beer Cafe,17601.53,16,1100.1
7183,Mother's Kitchen,17553.06,6,2925.51
6561,The Rasoiya Street,17535.31,33,531.37
10492,Swasthi Spice Restaurant,17481.35,4,4370.34
7266,Giselle Resto Cafe,17443.64,22,792.89
4264,Biriyani Zone,17218.05,11,1565.28
9999,Empire Restaurant,17199.73,35,491.42
6445,24@43 - The Oterra,17199.43,9,1911.05
7946,Onesta,17169.52,30,572.32
11603,KFC,17136.05,20,856.8
1371,Dal Roti,17063.77,3,5687.92
10835,Barbeque Nation,16896.04,23,734.61
7718,Helloo Delhi,16840.64,22,765.48
9203,Chung's Chinese Corner,16829.98,4,4207.5
10001,Beijing Bites,16827.02,41,410.42
10854,Nandhana Palace,16714.12,33,506.49
4789,Chulha Chauki Da Dhaba,16710.89,10,1671.09
7918,Dhaba - Estd 1986 Delhi,16681.21,16,1042.58
11109,Nagarjuna,16596.48,15,1106.43
8520,Three Dots & A Dash,16570.48,21,789.07
8961,eat.fit,16566.63,8,2070.83
1690,SlimSins Cafe,16564.65,9,1840.52
4700,Jalsa,16425.56,18,912.53
11113,Output Bengaluru,16391.55,27,607.09
10509,Chung's Chinese Corner,16371.51,2,8185.76
6425,Blue Bar - The Taj West End,16370.38,7,2338.63
2069,Ruh,16326.93,19,859.31
9769,Natural Ice Cream,16280.38,35,465.15
9852,The Bier Library,16217.45,12,1351.45
3672,Samarkand,16148.38,11,1468.03
9639,Zamindars Biryani Durbar,16126.02,32,503.94
9967,Navya's,16074.65,21,765.46
9114,The Local,16063.19,19,845.43
3429,Fava,16049.34,14,1146.38
1753,Malabar Bay,16023.93,33,485.57
2864,JW Kitchen - JW Marriott Bengaluru,15975.33,14,1141.09
268,Gufha - The President Hotel,15844.4,24,660.18
8271,The Pizza Bakery,15820.78,9,1757.86
2826,Vapour Brewpub and Diner,15818.32,22,719.01
8094,Monkey Bar,15803.39,22,718.34
6220,Chianti,15769.3,11,1433.57
4930,Truffles,15698.86,40,392.47
12276,Cafe Noir,15580.2,9,1731.13
4166,Sidewalk - The Garden Bar,15522.03,17,913.06
2016,Once Upon a Rooftop,15518.27,23,674.71
10431,Veena Stores,15518.04,33,470.24
1,Jalsa,15509.23,11,1409.93
2913,Cafe Azzure,15277.86,10,1527.79
8607,Murphy's Brewhouse - The Paul Bangalore,15103.13,13,1161.78
7028,Hyderabadi Spice,15089.42,36,419.15
11940,Mandara - Imera Spa & Resort,15080.81,22,685.49
6443,Onesta,15063.52,23,654.94
12291,Feast - Sheraton Grand Bengaluru Whitefield Hotel &...,15050.18,15,1003.35
6451,Soul Indian Specialty - Svenska Design Hotel,15005.18,8,1875.65
7917,Little Italy,14988.83,15,999.26
12296,alt,14971.09,16,935.69
8640,Jamavar - The Leela Palace,14840.27,5,2968.05
6446,Citrus Cafe - Lemon Tree Hotel,14825.13,9,1647.24
12353,KFC,14808.66,5,2961.73
9666,Ministry of Food - Hilton Bangalore Embassy GolfLinks,14803.63,8,1850.45
1633,Hakuna Matata,14770.73,26,568.11
9054,Savoury Restaurant,14729.19,12,1227.43
11849,Lassi Shop,14663.93,73,200.88
7184,Al Amanah Cafe,14592.31,52,280.62
10034,Gundappa Donne Biryani,14572.42,13,1120.96
11586,1947,14566.39,25,582.66
6444,Time Traveller - Sai Vishram,14525.04,24,605.21
11958,Barley & Grapes Cafe,14523.46,20,726.17
9233,China Pearl,14522.66,5,2904.53
11973,Burger King,14494.69,32,452.96
10223,Halli Mane,14482.83,16,905.18
9166,Biriyani House,14392.43,16,899.53
3908,M Cafe - Bengaluru Marriott Hotel Whitefield,14370.89,6,2395.15
10342,Salaam Sigri Rolls & Kebabs,14335.03,3,4778.34
9983,WOW! Momo,14314.25,66,216.88
4882,AB's - Absolute Barbecues,14271.99,14,1019.43
1682,Onesta,14271.34,31,460.37
7012,Silver Leaf - Ramee Guestline Hotels,14254.55,3,4751.52
8002,Sri Udupi Park,14104.66,5,2820.93
8525,Bricklane,13966.78,8,1745.85
5215,Biryani Pot,13951.5,4,3487.88
8551,Doff Pub and Lounge,13912.56,12,1159.38
6448,Bazaar - Zone By The Park,13682.51,10,1368.25
11571,Faasos,13665.18,27,506.12
9189,Mainland China,13635.73,18,757.54
2021,Bengaluru Cafe,13588.41,3,4529.47
11596,South Ruchis,13558.31,23,589.49
10019,Gullu's Chat,13378.32,52,257.28
7495,BOX8- Desi Meals,13348.71,11,1213.52
10681,The Persian Terrace - Sheraton Grand Bangalore Hotel...,13294.01,6,2215.67
11664,Savji's Roll 'N' Biryani,13288.7,23,577.77
9744,Nite Out,13232.85,30,441.1
9952,Mojo Pizza - 2X Toppings,13195.19,26,507.51
10788,South Ruchis Square,13122.98,19,690.68
10078,Sukh Sagar,13110.22,21,624.3
12253,Herbs & Spices,13108.34,23,569.93
8818,Malenadu Kitchen,13102.97,32,409.47
9001,Swad,13035.09,3,4345.03
4273,Toscano,13010.79,15,867.39
7514,Kapoor's Cafe,12999.16,15,866.61
844,Mother's Rasoi,12990.85,2,6495.43
11795,Priyadarshini Grand,12972.14,24,540.51
11954,TherPUP - a Dog Cafe,12931.83,17,760.7
4096,Maa Bhook Lagi,12918.47,4,3229.62
2084,AB's - Absolute Barbecues,12872.56,12,1072.71
6506,Swad 'E' Punjab,12850.28,3,4283.43
8038,Zaitoon,12815.48,14,915.39
11869,Faasos,12794.84,43,297.55
9056,One For The Road,12768.79,17,751.11
6593,Pan's Aroma,12622.35,6,2103.73
10992,Makers of Milkshakes,12523.76,2,6261.88
1013,Mango Tree- The Beer Garden,12497.67,19,657.77
3173,Toscano,12440.22,9,1382.25
5119,Koramangala Social,12427.33,11,1129.76
7036,The Terminus - The Oterra,12422.68,5,2484.54
7300,Sherlock's Pub,12320.65,14,880.05
3170,The Open Box,12283.74,10,1228.37
8936,Based On A True Story- Bistro,12216.01,20,610.8
9526,Mavalli Tiffin Room (MTR),12197.24,4,3049.31
5532,Shift,12167.16,9,1351.91
8519,1131 Bar + Kitchen,12021.35,15,801.42
4823,Pablo's Gastrobar,11991.69,8,1498.96
12133,Manbhavan Premium Thali Restaurant,11923.78,7,1703.4
2874,Le Jardin - The Oberoi,11915.22,6,1985.87
7922,Cafe Max,11902.27,9,1322.47
11186,Cafe Coffee Day,11771.98,10,1177.2
12063,The Beer Cafe,11595.87,14,828.28
7393,Bombay Chowpaty Kulfi,11559.95,14,825.71
2083,Jalsa Gold,11559.18,17,679.95
4135,Onesta,11551.11,25,462.04
9249,Vera Italiano,11514.78,6,1919.13
10278,Kaifu,11482.69,8,1435.34
1982,The Rogue Elephant,11468.35,14,819.17
10756,Dublin - ITC Windsor,11411.32,5,2282.26
11873,Pizza Hut,11358.96,20,567.95
1989,Brahmin's Coffee Bar,11326.49,68,166.57
11115,Dive,11311.34,19,595.33
11461,Chin Lung Resto-Bar,11298.1,17,664.59
9649,Calcutta Victoria Chat House,11259.11,62,181.6
1988,Mavalli Tiffin Room (MTR),11212.17,45,249.16
449,Andhra Ruchulu,11198.62,9,1244.29
1991,Domino's Pizza,11155.24,16,697.2
6508,Moriz Restaurant,11153.98,38,293.53
3905,Mainland China,11120.12,13,855.39
65,Gustoes Beer House,11066.05,13,851.23
443,Vinny's,11029.16,29,380.32
11306,Have More,11027.18,28,393.83
281,Kamat Bugle Rock,11008.34,7,1572.62
10131,Feast - Sheraton Grand Bangalore Hotel at Brigade...,10900.09,10,1090.01
10033,B Bhagat Tarachand,10859.24,25,434.37
11111,TBC- Sky Lounge,10854.97,21,516.9
8512,Sly Granny - The Community House,10846.98,7,1549.57
1844,Red Onion,10789.64,13,829.97
10355,Peppermill Bistro,10766.61,14,769.04
6223,The Boozy Griffin,10759.71,10,1075.97
8540,Soo Ra Sang,10748.38,3,3582.79
12093,Rajdhani Thali Restaurant,10671.46,14,762.25
11845,Swathi Greenland,10655.72,18,591.98
7840,Hangover,10605.81,13,815.83
300,The Royal Corner - Pai Viceroy,10583.9,9,1175.99
6651,Kittu's,10563.4,17,621.38
8105,Bombay Brasserie,10394.22,7,1484.89
3038,Soda Bottle Opener Wala,10377.44,15,691.83
6504,New Punjabi Food Corner,10338.4,19,544.13
10536,Jalpaan,10332.67,12,861.06
8678,Skyline Pizzeria,10249.25,39,262.8
345,Ruchi's Corner,10248.29,2,5124.15
11846,Cafe Coffee Day,10247.99,28,366.0
6392,Sunny Side Bistro,10236.41,25,409.46
9215,OKI,10215.75,13,785.83
9183,Aroma's Hyderabad House,10196.68,13,784.36
11244,Biriyani House,10195.35,14,728.24
6431,Calcutta Chats,10136.54,3,3378.85
11863,Husband's Kitchen,10131.96,31,326.84
4901,Hunan,10022.02,10,1002.2
1742,Cakewala,9961.34,14,711.52
9677,Gudguda Prime Cafe,9924.03,18,551.33
380,Eurasia Pasta and Barbeque by Little Italy,9898.23,17,582.25
1710,Shanmukha,9889.56,11,899.05
3180,NoLimmits Lounge and Club,9819.76,5,1963.95
10129,The Green Path - Forgotten Food,9773.5,14,698.11
8134,One Chu Restaurant,9763.27,5,1952.65
3369,The Humming Tree,9763.07,12,813.59
9880,Beijing Bites,9743.58,24,405.98
8824,Ovenstory Pizza,9711.25,21,462.44
3432,Bootlegger,9685.69,5,1937.14
12306,InAzia - Sheraton Grand Bengaluru Whitefield Hotel &...,9676.06,7,1382.29
643,Onesta,9637.69,30,321.26
4249,Punjab Grill,9601.44,5,1920.29
10693,Cafe Noir,9552.79,13,734.83
1391,Kesariya,9504.42,10,950.44
12297,Biere Societee,9494.32,11,863.12
11606,Pizza Hut,9490.2,22,431.37
7450,Foxtrot - House of Subculture,9484.67,7,1354.95
8547,Jimi's Beer Cafe,9473.88,4,2368.47
10305,The Asian Curry House,9471.78,10,947.18
6440,The Big Barbeque,9451.29,9,1050.14
1634,Three Dots & A Dash,9450.5,8,1181.31
7259,Pulimunchi,9444.29,20,472.21
8826,Wangs Kitchen,9442.49,5,1888.5
10074,Fishland,9414.88,30,313.83
3007,Empire Restaurant,9399.58,7,1342.8
8906,Little Italy,9397.89,9,1044.21
10018,Corner House Ice Cream,9379.93,47,199.57
10747,Dakshin - ITC Windsor,9377.91,4,2344.48
12020,Nasi And Mee,9346.47,17,549.79
9553,Burger King,9342.96,19,491.73
9900,Pizza Hut,9322.37,11,847.49
1831,Rajdhani Thali Restaurant,9288.72,14,663.48
3666,Farzi Cafe,9280.48,10,928.05
8531,Chinita Real Mexican Food,9272.83,11,842.98
11564,Amma's Pastries,9254.06,37,250.11
933,The Coastal Crew by Fujian on 24th,9241.7,7,1320.24
211,Toscano,9211.82,12,767.65
12308,Smaaash,9210.96,5,1842.19
11597,Al-Bek,9172.05,28,327.57
282,Puliyogare Point,9125.58,5,1825.12
8539,Pecos Stones,9112.9,9,1012.54
8879,McDonald's,9107.18,30,303.57
